"Species"	"Long"	"Lat"	"optional"
"88"	"Culex erraticus"	578971.249084693	1341584.68187327	TRUE
"89"	"Culex erraticus"	582668.963811027	1343455.97179038	TRUE
"90"	"Culex maracayensis"	570159.626844447	1351202.351313	TRUE
"91"	"Culex maracayensis"	578528.562016215	1350115.38970049	TRUE
"92"	"Culex nigripalpus"	583168.977171186	1345569.62610578	TRUE
"93"	"Culex nigripalpus"	565461.525713742	1357582.30413591	TRUE
"94"	"Culex nigripalpus"	572826.582905233	1353056.74519902	TRUE
"95"	"Culex nigripalpus"	579231.997620519	1341735.77722175	TRUE
"96"	"Culex nigripalpus"	578757.434790851	1343834.58051131	TRUE
"97"	"Culex nigripalpus"	579151.479594273	1341734.45629508	TRUE
"98"	"Culex nigripalpus"	576171.343095217	1353026.51619716	TRUE
"99"	"Culex nigripalpus"	582087.333653317	1340921.87023488	TRUE
"100"	"Culex nigripalpus"	582145.039682064	1340909.86518656	TRUE
"101"	"Culex nigripalpus"	568458.976192427	1352345.12978133	TRUE
"102"	"Culex nigripalpus"	579084.682540506	1343115.52374274	TRUE
"103"	"Culex nigripalpus"	579084.682540506	1343115.52374274	TRUE
"104"	"Culex nigripalpus"	579084.682540506	1343115.52374274	TRUE
"105"	"Culex nigripalpus"	579084.682540506	1343115.52374274	TRUE
"106"	"Culex quinquefasciatus"	579011.061100671	1343793.23282878	TRUE
"107"	"Culex quinquefasciatus"	579011.061100671	1343793.23282878	TRUE
"108"	"Culex quinquefasciatus"	579021.97992861	1343778.88550471	TRUE
"109"	"Culex quinquefasciatus"	578489.766115808	1349978.15651971	TRUE
"110"	"Culex quinquefasciatus"	578464.582780227	1349998.6589134	TRUE
"111"	"Culex quinquefasciatus"	571120.83450317	1356433.66520882	TRUE
"112"	"Culex quinquefasciatus"	572878.504186153	1353172.99081186	TRUE
"113"	"Culex quinquefasciatus"	584426.61258283	1343695.38046866	TRUE
"114"	"Culex quinquefasciatus"	578326.037943911	1347729.45819507	TRUE
"115"	"Culex quinquefasciatus"	578326.037943911	1347729.45819507	TRUE
"116"	"Culex quinquefasciatus"	579937.036133909	1347801.23644739	TRUE
"117"	"Culex quinquefasciatus"	584491.710033664	1343760.81396764	TRUE
